# first run

===== PLAYER RANKINGS BY WINS =====
Rank | Player Name         | Wins  | Games | Win Rate
  60 | Yellow Shy Guy       |  3452 |  5000 | 9.86%
  61 | Blue Noki            |  3366 |  5000 | 9.62%
  62 | Red Noki             |  3281 |  5000 | 9.37%
  63 | Dixie Kong           |  3130 |  5000 | 8.94%
  64 | Pink Yoshi           |  3080 |  5000 | 8.80%
  65 | Light Blue Yoshi     |  2947 |  5000 | 8.42%
  66 | Goomba               |  2944 |  5000 | 8.41%
  67 | Green Magikoopa      |  2921 |  5000 | 8.35%
  68 | Blue Yoshi           |  2637 |  5000 | 7.53%
  69 | Baby Mario           |  2632 |  5000 | 7.52%
  70 | Toadette             |  2555 |  5000 | 7.30%
  71 | Red Yoshi            |  2397 |  5000 | 6.85%
  72 | Baby Luigi           |  2315 |  5000 | 6.61%
